name	virus	subtype	length	sequence
417	HIV-1	F1 (check for 29_BF)	200
428	HIV-1	12_BF	200
421	HIV-1	F1 (check for 12_BF)	200
427	HIV-1	B (check for 12_BF)	200
402	HIV-1	F1	200
321	HIV-1	F1 (check for 40_BF)	200
415	HIV-1	F1 (check for 29_BF)	200
379	HIV-1	09_cpx	200
395	HIV-1	F1	200
399	HIV-1	F1	200
435	HIV-1	D (check for 19_cpx)	197
446	HIV-1	A1 (check for 19_cpx)	200
444	HIV-1	D (check for 19_cpx)	200
450	HIV-1	07_BC	200
455	HIV-1	07_BC	200
423	HIV-1	F1 (check for 12_BF)	200
438	HIV-1	D (check for 19_cpx)	200
449	HIV-1	01_AE (check for 19_cpx)	200
422	HIV-1	B (check for 12_BF)	200
437	HIV-1	D (check for 19_cpx)	200
407	HIV-1	B (check for 29_BF)	200
452	HIV-1	C (check for 07_BC)	200
447	HIV-1	19_cpx	200
434	HIV-1	F1 (check for 12_BF)	200
454	HIV-1	07_BC	200
443	HIV-1	D (check for 19_cpx)	200
440	HIV-1	19_cpx	200
397	HIV-1	F1	200
374	HIV-1	D	200
451	HIV-1	B (check for 07_BC)	200
441	HIV-1	D (check for 19_cpx)	200
400	HIV-1	F1	200
410	HIV-1	B (check for 29_BF)	200
439	HIV-1	D (check for 19_cpx)	200
398	HIV-1	F1	203
279	HIV-1	06_cpx	200
433	HIV-1	F1 (check for 12_BF)	200
403	HIV-1	F1	200
420	HIV-1	12_BF	200
373	HIV-1	D	200
247	HIV-1	01_AE	200
445	HIV-1	19_cpx	200
448	HIV-1	G (check for 19_cpx)	200
453	HIV-1	C (check for 07_BC)	200
317	HIV-1	B (check for 40_BF)	200
436	HIV-1	19_cpx	200
393	HIV-1	F1	200
490	HIV-1	G (check for 47_BF)	200
478	HIV-1	B (check for 39_BF)	200
480	HIV-1	47_BF	197
484	HIV-1	47_BF	200
486	HIV-1	47_BF	200
485	HIV-1	47_BF	200
463	HIV-1	C (check for 07_BC)	200
477	HIV-1	B (check for 39_BF)	200
482	HIV-1	47_BF	200
495	HIV-1	05_DF	200
487	HIV-1	B (check for 47_BF)	200
459	HIV-1	07_BC	200
472	HIV-1	B (check for 39_BF)	200
479	HIV-1	B (check for 39_BF)	200
481	HIV-1	D (check for 47_BF)	200
496	HIV-1	B (check for 05_DF)	200
442	HIV-1	D (check for 19_cpx)	200
457	HIV-1	C (check for 07_BC)	200
458	HIV-1	C (check for 07_BC)	200
491	HIV-1	47_BF	200
488	HIV-1	47_BF	200
476	HIV-1	B (check for 39_BF)	200
467	HIV-1	39_BF	200
466	HIV-1	39_BF	200
290	HIV-1	20_BG	200
462	HIV-1	C (check for 07_BC)	200
469	HIV-1	F1 (check for 39_BF)	200
475	HIV-1	39_BF	200
464	HIV-1	C (check for 07_BC)	200
471	HIV-1	B (check for 39_BF)	200
470	HIV-1	39_BF	200
494	HIV-1	F1 (check for 47_BF)	200
