window_size,threshold_pure,threshold_crf,sens. URF,sens. PURE/CRF
300,26,26,0.4799116533,0.9683544304
300,30,26,0.4510938157,0.9806962025
75,24,38,0.395140934,0.9994303797
75,34,26,0.1359907446,0.9998734177
100,34,20,0.3337189735,0.9738607595
75,22,26,0.4781236853,0.9943037975
100,26,28,0.4583508624,0.9967721519
300,24,38,0.4915860328,0.962278481
200,34,36,0.4529869584,0.9960126582
300,34,18,0.4459402608,0.9208227848
50,28,18,0.2198148927,0.9862025316
100,26,38,0.4523559108,0.9989240506
400,26,18,0.4106015987,0.9243037975
50,24,24,0.1931005469,0.9998101266
75,38,32,0.0522717711,1
50,24,34,0.1777450568,0.9999367089
200,18,38,0.6074884308,0.8607594937
100,36,34,0.1853176273,0.9999367089
50,32,22,0.0845603702,0.9996835443
400,34,26,0.3467606226,0.9821518987
400,26,26,0.3944047118,0.9633544304
300,18,36,0.5364955827,0.8694303797
75,26,28,0.3296171645,0.9998101266
200,26,20,0.5491165334,0.9416455696
300,22,22,0.5143037442,0.9227848101
300,20,24,0.5229280606,0.9019620253
100,26,18,0.5154606647,0.9315189873
75,20,36,0.5436474548,0.9848101266
400,28,34,0.3802061422,0.9776582278
50,22,30,0.2628313,0.9997468354
200,24,36,0.5518510728,0.9746835443
75,26,32,0.3242532604,0.9999367089
50,24,32,0.1781657552,0.9999367089
100,32,22,0.3444467817,0.9897468354
300,38,38,0.3910391249,0.9946202532
75,32,30,0.14871687,0.9999367089
50,18,34,0.4686579722,0.9865822785
200,30,34,0.4946360959,0.9936708861
75,34,22,0.1893142617,0.9956329114
200,30,28,0.4972654607,0.9910126582
300,20,18,0.5389145982,0.8632911392
200,32,24,0.4842238115,0.983164557
400,36,38,0.3347707194,0.9921518987
200,38,38,0.4064997897,0.9971518987
100,28,36,0.4006100126,0.9997468354
75,32,28,0.1575515355,0.9999367089
50,30,34,0.0343920909,1
50,36,28,0.0171434581,1
50,30,38,0.0336558687,1
75,38,36,0.0434371056,1
200,28,20,0.5334455196,0.9449367089
300,18,22,0.5431215818,0.8548101266
300,18,30,0.5366007573,0.8671518987
400,24,28,0.4078670593,0.9543037975
200,32,26,0.481804796,0.9882278481
50,22,38,0.2619899032,0.9997468354
400,36,28,0.3368742112,0.9874050633
100,22,38,0.5606857383,0.9855063291
400,32,22,0.3657972234,0.9664556962
300,32,34,0.433845183,0.9910759494
400,22,38,0.4183845183,0.9398101266
100,18,26,0.6576567101,0.9001898734
200,26,34,0.5347076146,0.9855696203
300,20,26,0.522297013,0.9061392405
400,36,20,0.3506520825,0.9573417722
75,30,20,0.2943836769,0.9862658228
300,26,38,0.4780185107,0.9759493671
200,30,38,0.4942153976,0.9948734177
300,38,24,0.3984013462,0.9776582278
75,20,34,0.5436474548,0.9846835443
50,36,20,0.123580143,0.997721519
100,22,18,0.5950778292,0.9232278481
100,28,24,0.423327724,0.994556962
50,28,38,0.0645771981,1
300,18,20,0.5469078671,0.8446835443
75,38,34,0.04743374,1
300,36,28,0.4083929323,0.9887974684
400,22,22,0.4258519142,0.9231012658
200,34,18,0.4886411443,0.905443038
75,38,30,0.0606857383,1
200,34,30,0.4558266723,0.9942405063
100,20,34,0.6093815734,0.9614556962
100,22,34,0.5613167859,0.9851898734
100,30,30,0.3457088767,0.9988607595
200,38,18,0.4505679428,0.9055696203
300,34,30,0.4200673117,0.9905696203
100,18,18,0.6731173748,0.8617721519
200,32,30,0.4775978124,0.9936708861
100,20,24,0.6123264619,0.9552531646
100,36,30,0.1978334035,0.9989873418
75,24,36,0.395140934,0.9993670886
300,36,36,0.4064997897,0.9939240506
400,36,32,0.3350862432,0.9907594937
300,36,18,0.4345814051,0.9212025316
200,30,24,0.5014724443,0.9824050633
300,22,24,0.5093605385,0.9298734177
100,32,20,0.3721076988,0.9738607595
300,32,36,0.4337400084,0.9917721519
50,26,32,0.1106436685,1
100,28,28,0.4091291544,0.9979746835
300,28,22,0.4722339083,0.9599367089
300,32,26,0.4365797223,0.9830379747
100,36,20,0.2955405974,0.9739240506
75,38,22,0.1498737905,0.9956329114
50,24,30,0.1784812789,0.9999367089
50,32,32,0.0200883467,1
50,28,30,0.0674169121,1
75,26,18,0.4249053429,0.9564556962
300,28,38,0.4632940682,0.9838607595
50,36,36,0.0051535549,1
75,20,38,0.5436474548,0.9848734177
300,38,36,0.3916701725,0.9942405063
100,18,34,0.6564997897,0.9039873418
75,22,24,0.481278923,0.9924683544
100,34,34,0.2346445099,0.9998734177
50,32,18,0.1934160707,0.9862025316
50,20,32,0.3619057636,0.9982278481
50,24,22,0.2109802272,0.9994936709
50,32,24,0.0558477072,1
400,32,24,0.3625368111,0.9741772152
50,32,20,0.1319941102,0.997721519
200,18,22,0.6115902398,0.8473417722
300,28,30,0.4636095919,0.9813924051
50,34,22,0.0785654186,0.9996835443
200,34,32,0.4549852756,0.9950632911
300,24,18,0.5119899032,0.9012658228
300,26,36,0.4780185107,0.975443038
100,30,26,0.3608540177,0.9975316456
