window_size	threshold_pure	threshold_crf	sens. URF	sens. PURE/CRF
400	20	34	0.467395877156	0.829936708861
50	28	30	0.397349600337	0.999367088608
300	38	24	0.481068573833	0.947911392405
300	30	36	0.512620950778	0.951772151899
200	18	32	0.654711821624	0.708481012658
100	18	24	0.769772822886	0.701582278481
75	34	22	0.488956668069	0.962341772152
400	26	30	0.44173327724	0.904367088608
400	38	26	0.394930584771	0.961329113924
75	38	28	0.35443836769	0.998544303797
50	26	34	0.468447623054	0.998734177215
400	30	22	0.426167437947	0.912848101266
50	30	26	0.34886411443	0.998291139241
200	22	32	0.626314682373	0.835569620253
300	24	20	0.545014724443	0.834620253165
400	38	36	0.392406394615	0.979873417722
75	18	18	0.792069835928	0.673987341772
400	28	34	0.432898611695	0.925379746835
50	34	20	0.362326461927	0.952405063291
100	32	30	0.568679007152	0.996708860759
75	32	34	0.469078670593	0.999620253165
50	38	22	0.25599495162	0.986455696203
50	22	38	0.615797223391	0.981962025316
100	32	38	0.562578880942	0.998481012658
100	34	38	0.52881783761	0.999367088608
400	36	18	0.404501472444	0.910696202532
100	24	18	0.711400925536	0.782594936709
100	34	36	0.529554059739	0.999367088608
200	34	36	0.560475389146	0.988417721519
400	32	30	0.415334455196	0.949430379747
200	26	38	0.60485906605	0.928860759494
50	38	28	0.143037442154	0.999746835443
50	20	32	0.685002103492	0.937025316456
300	22	36	0.549326882625	0.840759493671
400	26	36	0.441522928061	0.908164556962
200	32	26	0.574463609592	0.958164556962
300	38	18	0.488851493479	0.885632911392
50	26	22	0.514303744215	0.984936708861
100	28	26	0.632730332352	0.980443037975
100	30	22	0.621581825831	0.94082278481
50	20	36	0.684581405133	0.938607594937
100	32	32	0.565734118637	0.997721518987
400	26	38	0.441417753471	0.908670886076
400	26	20	0.444993689525	0.874430379747
200	22	36	0.626209507783	0.837848101266
400	18	24	0.479070256626	0.78917721519
400	30	18	0.427955405974	0.886835443038
400	26	26	0.442890197728	0.896772151899
100	18	34	0.76735380732	0.708797468354
100	22	36	0.711085401767	0.899493670886
100	24	38	0.682267564156	0.951962025316
50	36	32	0.146508203618	1.0
400	18	28	0.478018510728	0.79417721519
200	24	22	0.619162810265	0.850316455696
75	30	18	0.612326461927	0.816772151899
300	34	22	0.500420698359	0.923291139241
300	36	26	0.48843079512	0.956012658228
200	26	28	0.605595288178	0.91753164557
300	22	18	0.556478754733	0.790506329114
75	30	38	0.517143458141	0.998987341772
400	22	34	0.458666386201	0.859810126582
100	22	30	0.712242322255	0.897215189873
200	30	38	0.582562053008	0.97253164557
200	24	24	0.617164493058	0.866835443038
100	26	32	0.655868742112	0.976772151899
50	38	32	0.108119478334	1.0
75	28	38	0.567942785023	0.99664556962
300	20	18	0.564892721918	0.758481012658
50	30	20	0.441417753471	0.952341772152
300	22	22	0.55227177114	0.816898734177
200	18	26	0.655448043753	0.704367088608
75	36	24	0.428901977282	0.986329113924
400	38	22	0.395877156079	0.943417721519
400	38	34	0.392827092974	0.977784810127
75	18	30	0.774821203197	0.743987341772
100	32	22	0.596760622634	0.942025316456
75	26	32	0.616743794699	0.991329113924
300	20	34	0.55795119899	0.798101265823
300	34	18	0.50567942785	0.880126582278
100	38	34	0.45940260833	0.999810126582
50	32	26	0.292385359697	0.998417721519
400	34	34	0.406394615061	0.964493670886
400	24	34	0.450673117375	0.884873417722
300	30	32	0.512831299958	0.947405063291
200	26	30	0.605069415229	0.921962025316
300	26	36	0.530921329407	0.908164556962
300	22	30	0.549432057215	0.837088607595
400	32	22	0.417437946992	0.923164556962
75	30	22	0.562158182583	0.961582278481
50	34	32	0.192153975599	1.0
400	20	30	0.467395877156	0.828417721519
200	30	32	0.582877576777	0.967658227848
400	20	24	0.468552797644	0.820759493671
100	18	36	0.76724863273	0.709240506329
200	18	18	0.667963819941	0.666075949367
75	18	38	0.773979806479	0.746265822785
75	36	22	0.450252419016	0.962341772152
75	24	24	0.665544804375	0.963101265823
50	36	24	0.242322254943	0.995189873418
75	26	30	0.617690366008	0.991075949367
400	28	22	0.434896928902	0.899493670886
400	32	24	0.417017248633	0.933164556962
300	28	36	0.520193521245	0.932594936709
400	30	26	0.425431215818	0.928670886076
100	22	24	0.716028607488	0.88335443038
75	36	34	0.373685317627	0.999936708861
200	38	28	0.538073201515	0.977658227848
300	18	22	0.570677324358	0.739810126582
200	28	22	0.600126209508	0.899810126582
100	28	28	0.629364745477	0.986518987342
200	20	22	0.642406394615	0.756455696203
100	38	22	0.510622633572	0.942848101266
300	18	30	0.568363483382	0.753037974684
200	22	28	0.626840555322	0.831265822785
200	26	26	0.606121161127	0.910632911392
50	26	28	0.475494320572	0.997911392405
200	28	36	0.594657130837	0.956075949367
100	30	36	0.595288178376	0.996329113924
400	22	18	0.462031973075	0.823797468354
200	34	38	0.560265039966	0.989683544304
200	34	28	0.562368531763	0.973164556962
75	20	36	0.733277240219	0.864620253165
200	38	18	0.561316785865	0.837278481013
50	20	22	0.695940260833	0.924746835443
400	30	38	0.423748422381	0.943227848101
400	28	36	0.432688262516	0.926708860759
100	34	26	0.548590660496	0.988037974684
50	36	30	0.159970551115	0.999873417722
400	26	18	0.445204038704	0.860949367089
300	18	34	0.568363483382	0.754367088608
100	38	30	0.468447623054	0.997911392405
200	24	28	0.615481699621	0.880632911392
75	26	36	0.615271350442	0.99164556962
400	38	18	0.398190997055	0.914493670886
300	32	26	0.50610012621	0.942658227848
100	20	22	0.744951619689	0.796708860759
75	28	28	0.574673958772	0.995189873418
200	32	32	0.572149768616	0.977848101266
400	28	24	0.434476230543	0.90835443038
75	34	18	0.552692469499	0.816962025316
50	34	30	0.20330248212	0.999873417722
200	30	36	0.582667227598	0.971392405063
200	20	38	0.639145982331	0.779113924051
300	32	38	0.504417332772	0.967215189873
400	24	20	0.453828355069	0.855443037975
75	36	30	0.386832141355	0.999367088608
400	30	28	0.42437946992	0.934367088608
300	34	38	0.495267143458	0.976962025316
50	32	28	0.272086663862	0.999746835443
100	18	26	0.768826251578	0.704620253165
100	32	20	0.606541859487	0.886392405063
50	34	38	0.179007151872	1.0
200	26	36	0.60485906605	0.927911392405
50	36	38	0.129259570888	1.0
50	18	28	0.750315523769	0.837025316456
200	28	32	0.594867480017	0.952658227848
300	28	38	0.520193521245	0.933291139241
300	36	36	0.486327303324	0.982278481013
50	20	26	0.687210769878	0.933607594937
200	34	18	0.584034497265	0.835443037975
400	22	26	0.459823306689	0.852151898734
200	18	22	0.657446360959	0.693797468354
75	36	20	0.476125368111	0.910949367089
300	36	18	0.497160286075	0.883037974684
200	28	26	0.596234749684	0.935886075949
400	30	36	0.423853596971	0.942594936709
100	28	32	0.625368111064	0.99
400	18	22	0.479280605806	0.785
50	24	22	0.574673958772	0.980886075949
50	18	36	0.749158603281	0.839746835443
400	34	32	0.406499789651	0.962658227848
75	18	26	0.775978123685	0.742278481013
50	20	34	0.684896928902	0.937784810127
75	34	38	0.41848969289	0.999936708861
75	18	22	0.77913336138	0.732721518987
75	38	20	0.444467816576	0.910949367089
100	38	28	0.475809844342	0.995063291139
200	22	26	0.627261253681	0.82746835443
200	38	32	0.536285233488	0.989050632911
100	32	24	0.58740008414	0.972151898734
300	34	26	0.497055111485	0.951012658228
50	18	38	0.749158603281	0.840063291139
200	18	38	0.654606647034	0.710506329114
200	38	24	0.541754312158	0.951708860759
75	18	32	0.774505679428	0.744683544304
200	30	28	0.583824148086	0.958037974684
300	36	22	0.491796381994	0.927405063291
400	20	20	0.470340765671	0.80835443038
50	26	24	0.496424063946	0.993544303797
400	38	20	0.397770298696	0.931518987342
75	26	34	0.615797223391	0.991518987342
75	24	30	0.6570256626	0.974620253165
75	36	32	0.380100967606	0.999810126582
400	20	18	0.470551114851	0.79917721519
400	22	20	0.461821623896	0.83417721519
400	36	24	0.401766933109	0.949556962025
200	38	30	0.536390408077	0.984620253165
400	38	32	0.392932267564	0.975886075949
300	26	18	0.539335296592	0.836772151899
200	36	28	0.550168279344	0.976139240506
300	38	38	0.477492637779	0.987848101266
100	20	38	0.738956668069	0.821012658228
50	22	32	0.616638620109	0.980189873418
300	28	32	0.520403870425	0.928860759494
200	34	22	0.568679007152	0.921772151899
200	30	34	0.582667227598	0.97
100	28	36	0.624316365166	0.990886075949
400	36	30	0.399768615902	0.968037974684
200	30	22	0.589082877577	0.910126582278
200	22	22	0.629890618427	0.808797468354
75	20	34	0.733487589398	0.863924050633
200	38	36	0.535338662179	0.993924050633
75	20	20	0.744741270509	0.814873417722
50	38	20	0.310159865377	0.952405063291
400	32	20	0.418910391249	0.912341772152
200	28	20	0.604122843921	0.865759493671
100	24	24	0.688683214135	0.93246835443
75	32	36	0.467816575515	0.999620253165
50	22	34	0.61621792175	0.981075949367
100	24	22	0.692153975599	0.909303797468
400	38	30	0.393142616744	0.973291139241
75	24	22	0.671855279764	0.943417721519
200	20	30	0.63925115692	0.775379746835
400	28	28	0.433214135465	0.919367088608
400	32	18	0.419331089609	0.896582278481
75	18	24	0.777135044173	0.739556962025
50	24	38	0.545014724443	0.995
300	22	26	0.549957930164	0.830506329114
300	26	38	0.530921329407	0.908797468354
200	18	30	0.654711821624	0.707405063291
75	28	22	0.602019352125	0.96
400	20	26	0.468447623054	0.823607594937
50	38	30	0.122528397139	0.999873417722
300	22	24	0.551009676062	0.825506329114
200	28	24	0.597602019352	0.922911392405
200	38	38	0.53502313841	0.995379746835
50	30	22	0.403449726546	0.986329113924
100	20	24	0.742742953302	0.808924050633
100	22	34	0.711295750947	0.899050632911
400	36	28	0.400294488851	0.963481012658
400	30	34	0.424063946151	0.941139240506
300	26	20	0.536390408077	0.856582278481
50	18	30	0.75010517459	0.838037974684
100	36	18	0.576041228439	0.799683544304
400	22	32	0.458666386201	0.858797468354
50	28	36	0.391039124947	0.999556962025
75	24	36	0.655027345393	0.976202531646
50	24	30	0.547959612958	0.993670886076
50	26	26	0.4824358435	0.996772151899
50	22	30	0.617690366008	0.979367088608
75	30	30	0.522717711401	0.998291139241
100	38	24	0.497580984434	0.973227848101
100	34	24	0.55816154817	0.972911392405
300	18	38	0.568258308793	0.755506329114
100	34	30	0.536285233488	0.99753164557
300	22	34	0.549432057215	0.839367088608
75	18	28	0.775241901557	0.743227848101
200	36	32	0.548485485907	0.987405063291
400	24	38	0.450357593605	0.886329113924
400	18	36	0.477913336138	0.797278481013
50	30	38	0.310265039966	0.999936708861
75	18	36	0.774084981069	0.745759493671
400	34	30	0.40671013883	0.960569620253
200	36	38	0.547749263778	0.993670886076
300	26	26	0.532288599074	0.892341772152
100	18	30	0.767984854859	0.70746835443
300	36	28	0.487589398401	0.96582278481
200	22	38	0.626209507783	0.838670886076
300	38	28	0.478965082036	0.969873417722
100	36	38	0.490429112326	0.999620253165
100	26	20	0.677114009255	0.875696202532
50	30	34	0.313104753891	0.999936708861
400	36	32	0.399558266723	0.970443037975
50	18	24	0.753575936054	0.833037974684
200	18	34	0.654606647034	0.709240506329
50	28	32	0.394089188052	0.999556962025
100	36	20	0.552692469499	0.886835443038
50	36	20	0.334981068574	0.952405063291
75	20	26	0.735696255785	0.859873417722
300	18	36	0.568258308793	0.755126582278
100	22	38	0.710875052587	0.899810126582
300	28	28	0.520824568784	0.921012658228
400	34	38	0.405868742112	0.967341772152
100	34	28	0.541649137568	0.994683544304
100	24	28	0.685212452671	0.947088607595
50	32	36	0.243584350021	1.0
300	22	32	0.549432057215	0.83835443038
100	30	26	0.606647034077	0.985253164557
75	32	22	0.523664282709	0.962088607595
50	28	20	0.490639461506	0.952088607595
200	38	20	0.550588977703	0.886898734177
100	24	20	0.69793857804	0.861772151899
300	22	38	0.549326882625	0.841265822785
300	38	22	0.483382414809	0.930632911392
400	20	32	0.467395877156	0.829240506329
75	22	22	0.705931846866	0.912151898734
75	38	32	0.334665544804	0.999810126582
300	38	34	0.477597812369	0.984556962025
200	32	30	0.572254943206	0.973924050633
300	30	30	0.513251998317	0.944113924051
50	24	28	0.549747580984	0.993164556962
75	38	18	0.492953302482	0.816962025316
300	34	36	0.495267143458	0.975949367089
200	36	34	0.548064787547	0.990316455696
200	38	22	0.545119899032	0.924746835443
